QERMStudent,name,group,id,status
FALSE,Freshwater,Freshwater,freshwater,NA
FALSE,Human,Human,human,NA
FALSE,Urban,Urban,urban,NA
FALSE,Forestry,Forestry,forestry,NA
FALSE,Wildlife,Wildlife,wildlife,NA
FALSE,Marine,Marine,marine,NA
FALSE,Other Terrestrial,Other Terrestrial,terrestrial,NA
