QERMStudent,name,group,id,status
FALSE,Population Dynamics,Population Dynamics,popdy,NA
FALSE,Simulation,Simulation,simulation,NA
FALSE,Data Analysis,Data Analysis,analysis,NA
FALSE,Optimization,Optimization,optim,NA
FALSE,Software Development,Software Development,software,NA
FALSE,Method Development,Method Development,method,NA
